restaurant name,restaurant type,rate (out of 5),Average Customer Per Week,avg cost (two people),online_order,table booking,cuisines type,local address,Average income per Week
Ajwa Thalassery Biryani,Quick Bites,3.9,42,500.0,True,True,"Biryani, South Indian",Sarjapur Road,21000.0
Akkad Bakkad,Casual Dining,3.9,72,600.0,True,True,"North Indian, Chinese",Electronic City,43200.0
AKS Family Dhaba And Restaurant,Quick Bites,3.6,40,500.0,True,False,"North Indian, Mughlai, South Indian",Marathahalli,20000.0
Akshara,Casual Dining,3.8,42,700.0,True,False,"North Indian, South Indian, Chinese",Electronic City,29400.0
Akshatha Nati Style,Quick Bites,3.7,20,500.0,False,False,"South Indian, Chinese, North Indian",Vijay Nagar,10000.0
Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,600.0,True,False,"North Indian, South Indian, Chinese, Fast Food",Koramangala 1st Block,24000.0
AKSHAYA BIRYANI,Quick Bites,3.6,20,300.0,True,False,"Biryani, North Indian",Sarjapur Road,6000.0
Akshaya Deluxe,Casual Dining,4.0,336,500.0,True,False,"North Indian, Chinese, Seafood, Biryani",New BEL Road,168000.0
Akshaya Donne Biriyani,Quick Bites,3.0,39,300.0,True,False,"Biryani, South Indian, Kebab",JP Nagar,11700.0
Akshaya Family Restaurant,Quick Bites,3.2,4,150.0,True,False,"South Indian, North Indian",Banaswadi,600.0
Akshaya Grand,Casual Dining,3.4,29,750.0,True,False,North Indian,BTM,21750.0
Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,200.0,False,False,"South Indian, Chinese",Vasanth Nagar,2600.0
Akss - India Reimagined,Casual Dining,4.2,258,1800.0,False,True,"Modern Indian, North Indian",Sadashiv Nagar,464400.0
Al Amal Cafe,"Cafe, Quick Bites",4.0,74,300.0,False,False,"Cafe, Fast Food",Kammanahalli,22200.0
Al Amanah Cafe,Quick Bites,4.4,1413,300.0,True,False,"Middle Eastern, Fast Food, Rolls",Kammanahalli,423900.0
Al Ameen Rolls Corner,Quick Bites,3.7,16,200.0,False,False,Rolls,Kammanahalli,3200.0
Al Barack Cafetaria,Quick Bites,3.6,20,300.0,False,False,Arabian,Banaswadi,6000.0
Al Daaz,Casual Dining,4.2,567,550.0,True,False,"North Indian, Continental, BBQ",HSR,311850.0
