restaurant name,restaurant type,rate (out of 5),Average Customer Per Week,avg cost (two people),online_order,table booking,cuisines type,local address,Average income per Week
Beyond Elements,"Casual Dining, Cafe",4.1,859,900.0,True,True,"Cafe, Italian, Pizza, North Indian",Whitefield,773100.0
BFC Family Restaurant,Casual Dining,3.2,426,600.0,True,False,"North Indian, Biryani, Chinese, Rolls",Kaggadasapura,255600.0
Bflat Bar,Lounge,3.9,854,1600.0,False,True,"North Indian, Chinese, Continental, Bengali",Indiranagar,1366400.0
BG's Poolside Bar & Grill,"Casual Dining, Bar",4.1,106,1600.0,False,True,"Mediterranean, Italian, Mexican",Bellandur,169600.0
Bhagatram Sweets,Quick Bites,3.4,225,300.0,False,False,"Street Food, Mithai",Commercial Street,67500.0
Bhagini,Casual Dining,2.0,259,800.0,False,False,"Andhra, South Indian, Chinese, North Indian",Marathahalli,207200.0
Bhagini Icon Boutique Hotel,Casual Dining,3.1,6,600.0,True,False,"South Indian, North Indian, Continental",Indiranagar,3600.0
Bhagini IRIS,Casual Dining,3.6,115,600.0,False,False,"North Indian, Chinese",Whitefield,69000.0
Bhagini Kitchen And Bar,"Casual Dining, Bar",3.8,35,1100.0,False,False,"Andhra, South Indian, Chinese, North Indian",Marathahalli,38500.0
Bhaijaan Barbeques,Food Truck,3.4,8,200.0,True,False,"Mughlai, Arabian, BBQ",South Bangalore,1600.0
Bhairava Deluxe Hindu Military Hotel,Quick Bites,3.4,4,400.0,False,False,South Indian,Rajajinagar,1600.0
Bhairaveshwara Military Hotel,Quick Bites,4.1,133,250.0,True,False,"South Indian, Hyderabadi",Malleshwaram,33250.0
Bhaiya Ji Food Court,Quick Bites,3.0,16,150.0,False,False,"North Indian, Street Food",Ulsoor,2400.0
Bhaiyajees,"Takeaway, Delivery",0.0,40,300.0,False,False,"North Indian, South Indian",Koramangala 8th Block,12000.0
Bhaiyaji Food Court,Quick Bites,3.3,6,300.0,False,False,"North Indian, Mithai",MG Road,1800.0
Bhajanka's Restaurant,Casual Dining,3.6,21,700.0,False,False,"Street Food, North Indian, Continental, Beverages",Kammanahalli,14700.0
Bhandary's Kitchen,Delivery,3.6,16,300.0,False,False,North Indian,Koramangala 7th Block,4800.0
Bhanu Hindi Military Hotel,Quick Bites,3.4,7,300.0,True,False,South Indian,Magadi Road,2100.0
Bharanis,Casual Dining,3.5,18,600.0,False,False,"Andhra, Biryani",Domlur,10800.0
Bharat Kitchen,Quick Bites,3.7,20,300.0,True,False,"Bengali, Chinese, Continental, Mughlai, North Indian, Oriya",Koramangala 1st Block,6000.0
Bharath Restaurant,Casual Dining,3.1,37,450.0,True,False,"North Indian, Chinese",Jalahalli,16650.0
Bharathi Dosa Camp,Quick Bites,3.2,7,100.0,False,False,South Indian,Commercial Street,700.0
Bharathi Refreshments,Quick Bites,3.4,4,300.0,False,False,"South Indian, North Indian",Koramangala 8th Block,1200.0
Bharatkhana,Casual Dining,3.4,6,400.0,False,False,"North Indian, Bengali",Marathahalli,2400.0
Bharjari Oota,Casual Dining,3.9,153,350.0,False,False,South Indian,Basavanagudi,53550.0
Bharpur Aahar,Quick Bites,3.9,418,200.0,True,False,"North Indian, Chinese",Jeevan Bhima Nagar,83600.0
Bhartiya Jalpan,Casual Dining,2.8,40,700.0,False,False,"North Indian, Street Food",Commercial Street,28000.0
Bhattara Bhojana,Quick Bites,3.6,66,150.0,True,False,South Indian,Banashankari,9900.0
Bhavani Chats,Quick Bites,3.6,34,100.0,True,False,Street Food,Bannerghatta Road,3400.0
Bhavani Chats N Juice,Quick Bites,3.9,91,200.0,True,False,"Beverages, Street Food",Jayanagar,18200.0
Bhavani Military Hotel,Quick Bites,2.8,40,300.0,True,False,"Maharashtrian, Mughlai, Fast Food",RT Nagar,12000.0
Bhavani Restaurant,Casual Dining,3.6,73,500.0,True,False,"Mughlai, North Indian, Chinese",Banaswadi,36500.0
Bhavani Sri,Casual Dining,3.0,110,700.0,True,False,"Andhra, Biryani, Seafood",Indiranagar,77000.0
Bhavani Upahara,Quick Bites,3.3,9,250.0,True,False,South Indian,Bannerghatta Road,2250.0
Bhavani Vada Pav,Quick Bites,4.0,106,150.0,True,False,Fast Food,Yeshwantpur,15900.0
Bhavya Military Hotel,Quick Bites,3.5,18,300.0,False,False,South Indian,Bannerghatta Road,5400.0
Bheema's,Casual Dining,4.0,779,650.0,True,False,Andhra,Church Street,506350.0
Bhikaram Chandmal Bhujiawala,Quick Bites,3.0,41,150.0,False,False,"North Indian, Mithai",Indiranagar,6150.0
B-hive,Pub,4.3,1550,1200.0,False,True,"Finger Food, North Indian",Koramangala 1st Block,1860000.0
Bhoja99,Quick Bites,2.8,40,200.0,False,False,North Indian,BTM,8000.0
Bhojan@99,Quick Bites,2.8,40,200.0,True,False,Fast Food,Bannerghatta Road,8000.0
Bhojanam Restaurant,Casual Dining,3.6,196,600.0,False,False,"Andhra, Biryani",Electronic City,117600.0
Bhojohori Manna,Casual Dining,3.7,662,650.0,True,False,"Bengali, Mughlai",JP Nagar,430300.0
Bhojon Tripti,Quick Bites,2.9,24,300.0,True,False,"Bengali, North Indian",Bannerghatta Road,7200.0
Bhookha Sher,Quick Bites,3.2,34,350.0,True,False,"North Indian, Fast Food",Old Airport Road,11900.0
BHR Foods,Quick Bites,3.4,7,350.0,True,False,"North Indian, Chinese, Continental, Biryani, Thai",Whitefield,2450.0
Bhukkad,Quick Bites,3.1,7,250.0,False,False,"Healthy Food, Fast Food",Bannerghatta Road,1750.0
Bhukkads,Casual Dining,3.2,63,400.0,True,False,"Chinese, North Eastern",Electronic City,25200.0
Bhukkhad Baba,Quick Bites,3.6,132,250.0,True,False,"North Indian, Beverages",JP Nagar,33000.0
Bhuvaneshwari Mess,Quick Bites,2.8,40,250.0,False,False,"South Indian, North Indian, Biryani",Kalyan Nagar,10000.0
BIB - Breakfast in the Box,Delivery,3.5,41,600.0,True,False,"American, Sandwich",Kammanahalli,24600.0
BIB-Breakfast in the Box,Delivery,3.7,61,600.0,True,False,"American, Sandwich",Whitefield,36600.0
Biere Societee,Pub,4.2,320,1500.0,False,True,"Asian, Continental, European",Whitefield,480000.0
BiereKraft,Bar,4.2,746,1600.0,False,True,"Continental, North Indian, Asian",Marathahalli,1193600.0
Biergarten,"Microbrewery, Pub",4.7,6865,2400.0,False,True,"Continental, European, BBQ, Chinese, Asian",Whitefield,16476000.0
Big Apple Restaurant,Quick Bites,3.2,4,300.0,False,False,"North Indian, Chinese, Pizza, Burger",Electronic City,1200.0
Big Bite,"Quick Bites, Beverage Shop",4.0,555,400.0,True,False,"Fast Food, Street Food, Beverages, Chinese",Vijay Nagar,222000.0
Big Bites,Quick Bites,3.6,21,200.0,False,False,"Chinese, Fast Food",Jayanagar,4200.0
Big Bowl Theory,Delivery,3.1,27,400.0,False,False,Continental,Koramangala,10800.0
Big Box Theory,Delivery,3.6,11,550.0,False,False,"Salad, Healthy Food, Fast Food",Ejipura,6050.0
Big Chick Fried Chicken,Quick Bites,3.5,11,400.0,True,False,Fast Food,Kaggadasapura,4400.0
Big Chicken,Quick Bites,3.9,110,400.0,True,False,Fast Food,Kammanahalli,44000.0
Big Fat Brownie,"Takeaway, Delivery",3.4,6,400.0,True,False,"Bakery, Sandwich",HSR,2400.0
Big Foody's,Delivery,3.2,4,500.0,False,False,"North Indian, Chinese, South Indian, Fast Food",Koramangala 8th Block,2000.0
Big Mama,Cafe,3.3,6,600.0,False,False,"Cafe, Continental, Italian",HSR,3600.0
Big Mishra Pedha,Sweet Shop,2.9,23,250.0,True,False,Mithai,Jayanagar,5750.0
Big Mummy,Quick Bites,3.9,214,400.0,True,False,"Fast Food, Biryani",Indiranagar,85600.0
Big Pitcher,"Pub, Microbrewery",4.6,9272,1800.0,False,True,"American, Continental, North Indian, Mediterranean",Old Airport Road,16689600.0
Big Straw Blast,Beverage Shop,3.5,6,150.0,True,False,Beverages,Sahakara Nagar,900.0
Big Wong XL,Casual Dining,4.5,678,1400.0,False,True,"Chinese, Sushi, Asian, Thai",Koramangala 5th Block,949200.0
Biggies Burger 'n' More,Cafe,3.8,63,650.0,True,False,"Cafe, Burger, Beverages",Marathahalli,40950.0
Bihar Bhojanalaya,Quick Bites,3.1,14,200.0,False,False,"North Indian, Bihari",New BEL Road,2800.0
Bihar Ki Shan,Quick Bites,3.8,347,300.0,True,False,North Indian,HSR,104100.0
Bikaner Jn,Quick Bites,3.9,85,300.0,True,False,Rajasthani,JP Nagar,25500.0
Bikaner Sweets,Sweet Shop,3.7,63,150.0,True,False,"Mithai, Street Food",Sahakara Nagar,9450.0
Bikaneri Sweets,Sweet Shop,3.4,19,250.0,True,False,"Mithai, Street Food",Bannerghatta Road,4750.0
Billionaires Cafe,Cafe,3.8,47,600.0,False,False,"Cafe, Italian",Koramangala 5th Block,28200.0
Bindu Garden Bar & Restaurant,Casual Dining,3.1,36,550.0,True,False,"North Indian, Chinese",HSR,19800.0
BingeJoy!,Kiosk,3.6,16,100.0,True,False,"Biryani, Chinese, Fast Food",JP Nagar,1600.0
Birbal Darbar,Casual Dining,4.1,317,600.0,False,False,"North Indian, Chinese, Biryani",Sarjapur Road,190200.0
Birinz,Casual Dining,4.1,292,700.0,True,False,"Biryani, Chinese, Mughlai, Fast Food, Kebab",BTM,204400.0
Biriyani & Kabab Corner,Quick Bites,2.8,40,350.0,False,False,"Biryani, North Indian, Chinese",Marathahalli,14000.0
Biriyani Adda,Quick Bites,2.8,40,350.0,True,False,"Biryani, Fast Food",Bellandur,14000.0
Biriyani Angadi,Quick Bites,3.2,7,200.0,False,False,Biryani,BTM,1400.0
Biriyani Bhatti,Quick Bites,3.7,21,400.0,True,False,"Chinese, Hyderabadi, North Indian",BTM,8400.0
Biriyani Bungalow,Casual Dining,3.1,4,600.0,True,False,"Biryani, North Indian",HSR,2400.0
Biriyani Combo 99,Quick Bites,2.8,40,300.0,False,False,Biryani,Indiranagar,12000.0
Biriyani Fest,Delivery,2.8,33,700.0,True,False,"Biryani, North Indian, Chinese",New BEL Road,23100.0
Biriyani House,Casual Dining,3.6,27,400.0,True,False,Biryani,Bellandur,10800.0
Biriyani Hub,Delivery,3.0,30,400.0,True,False,"Fast Food, Biryani, Seafood, South Indian",New BEL Road,12000.0
Biriyani Mane,Casual Dining,3.7,158,700.0,True,False,"Biryani, Chinese, North Indian",Jayanagar,110600.0
Biriyani Nights,"Takeaway, Delivery",2.9,119,500.0,True,False,"Biryani, Kebab, Continental",Kammanahalli,59500.0
Biriyani Paradise,Casual Dining,3.5,18,550.0,False,False,"North Indian, Kerala, Biryani, South Indian",Electronic City,9900.0
Biriyani Section,Quick Bites,2.8,40,300.0,True,False,"Biryani, North Indian",Whitefield,12000.0
Biriyani Zone,Casual Dining,3.7,22,800.0,True,False,"Biryani, North Indian, Chinese, Seafood",CV Raman Nagar,17600.0
Biriyani's House,Quick Bites,2.8,40,200.0,True,False,"Biryani, North Indian",HSR,8000.0
Biriyaniz,"Takeaway, Delivery",3.4,301,400.0,True,False,"Biryani, North Indian, Chinese, Andhra",HSR,120400.0
Biriyummy,Quick Bites,3.3,6,250.0,False,False,"Biryani, Kebab",Banaswadi,1500.0
Biryani & Kabab,Quick Bites,3.2,4,150.0,False,False,Biryani,Whitefield,600.0
Biryani & Kabab Corner,Casual Dining,3.7,32,450.0,False,False,"North Indian, Chinese, Biryani, Andhra",Marathahalli,14400.0
Biryani Affair,Delivery,3.5,147,350.0,True,False,Biryani,HSR,51450.0
Biryani Bar,Delivery,2.8,40,300.0,True,False,Biryani,Whitefield,12000.0
Biryani Bazar,Quick Bites,3.3,4,250.0,False,False,Biryani,Indiranagar,1000.0
Biryani Bowl,Kiosk,3.3,10,550.0,False,False,"Biryani, Andhra",Whitefield,5500.0
Biryani Club,Quick Bites,2.9,31,400.0,False,False,"South Indian, Biryani",Jeevan Bhima Nagar,12400.0
Biryani Darbar,Casual Dining,3.3,12,600.0,True,False,"Biryani, Chinese",Electronic City,7200.0
Biryani Dawat,Quick Bites,2.8,40,400.0,False,False,"Biryani, Hyderabadi",BTM,16000.0
Biryani Day,Casual Dining,3.7,751,500.0,True,False,"North Indian, Chinese, Biryani, Andhra",Marathahalli,375500.0
Biryani Durbar,"Takeaway, Delivery",3.7,128,400.0,True,False,"Biryani, North Indian",Bannerghatta Road,51200.0
Biryani Empire,Quick Bites,3.0,8,400.0,True,False,Biryani,New BEL Road,3200.0
Biryani Express,Casual Dining,3.7,71,600.0,True,False,"Biryani, North Indian",Whitefield,42600.0
Biryani Factory,Delivery,2.9,14,400.0,True,False,Biryani,Whitefield,5600.0
Biryani Feast,Delivery,2.9,132,600.0,True,False,"Biryani, North Indian, Chinese",Marathahalli,79200.0
Biryani Foodies,Quick Bites,3.1,7,500.0,True,False,"Biryani, Mughlai",Koramangala 5th Block,3500.0
Biryani House,Casual Dining,3.5,11,600.0,True,False,"Andhra, Biryani, Chinese, North Indian",Bellandur,6600.0
Biryani Hub,Quick Bites,3.2,87,600.0,True,False,"North Indian, South Indian, Biryani",Nagawara,52200.0
Biryani Hut,Quick Bites,3.5,9,300.0,True,False,"North Indian, Biryani",Sarjapur Road,2700.0
Biryani Joint,Quick Bites,3.3,4,200.0,False,False,"South Indian, Biryani",Kammanahalli,800.0
Biryani Junction,Quick Bites,2.3,298,450.0,True,False,"Biryani, North Indian, Chinese",Bommanahalli,134100.0
Biryani Khazana,"Takeaway, Delivery",3.0,10,600.0,True,False,Biryani,Indiranagar,6000.0
Biryani Kitchen,Food Court,4.3,627,450.0,True,False,Biryani,Whitefield,282150.0
Biryani Knights,Delivery,3.6,21,300.0,False,False,Biryani,JP Nagar,6300.0
Biryani Lakhnawi,Quick Bites,3.6,13,500.0,False,False,"Lucknowi, Biryani",Marathahalli,6500.0
Biryani Magic,Quick Bites,3.5,31,300.0,True,False,"North Indian, Biryani",BTM,9300.0
Biryani Mandra,"Takeaway, Delivery",3.8,70,500.0,True,False,"Seafood, Salad, North Indian, Biryani, Chinese",Koramangala 1st Block,35000.0
Biryani Mane,Quick Bites,3.6,66,600.0,True,False,"North Indian, Biryani",Marathahalli,39600.0
Biryani Miya,Delivery,2.9,15,600.0,True,False,"Biryani, North Indian",Marathahalli,9000.0
Biryani Nights,Quick Bites,3.5,20,400.0,True,False,"South Indian, North Indian, Chinese",Bannerghatta Road,8000.0
Biryani Palace,Casual Dining,3.6,37,750.0,True,False,"Biryani, North Indian, Chinese",Nagawara,27750.0
Biryani Paradise,Casual Dining,3.8,131,700.0,True,False,"Andhra, Biryani",Whitefield,91700.0
Biryani Park,Casual Dining,3.4,85,500.0,True,False,"North Indian, Biryani, Chinese, Mughlai",Brookefield,42500.0
Biryani Point,Quick Bites,3.2,7,250.0,False,False,Biryani,Bommanahalli,1750.0
Biryani Pot,Casual Dining,3.8,1071,500.0,True,False,Biryani,BTM,535500.0
Biryani Rooh-e-Khaas,Delivery,2.8,40,500.0,True,False,"Biryani, Mughlai",HSR,20000.0
Biryani Royals Garden,Quick Bites,2.8,40,500.0,True,False,"North Indian, Biryani, Mughlai",Kumaraswamy Layout,20000.0
Biryani Spot,Quick Bites,3.5,9,300.0,True,False,"South Indian, Biryani",BTM,2700.0
Biryani Times,Quick Bites,3.5,16,300.0,False,False,Biryani,JP Nagar,4800.0
Biryani Treat,Quick Bites,2.8,40,400.0,False,False,Biryani,Rajajinagar,16000.0
Biryani Treats,Delivery,2.5,105,650.0,False,False,Biryani,New BEL Road,68250.0
Biryani Trip,Delivery,2.8,40,400.0,True,False,Biryani,Indiranagar,16000.0
Biryani@Bangalore,"Takeaway, Delivery",2.9,86,300.0,False,False,"Biryani, Chinese, South Indian",Marathahalli,25800.0
Biryanis And More,Casual Dining,4.0,618,750.0,True,False,"Biryani, North Indian, Chinese, Andhra, South Indian",Jayanagar,463500.0
Bisi Thindi,Quick Bites,2.8,40,150.0,True,False,South Indian,Kammanahalli,6000.0
Bisimillah Biriyani,Quick Bites,3.5,11,300.0,False,False,"Biryani, Fast Food",BTM,3300.0
Bisimillah Biriyani's & Kebab's,Quick Bites,3.3,6,300.0,False,False,"Biryani, Fast Food",BTM,1800.0
Bismilla Kabab & Biryani Centre,Quick Bites,3.2,4,300.0,False,False,"North Indian, Chinese",Kalyan Nagar,1200.0
Bismilla Vaniyambadi Biriyani,Quick Bites,2.8,40,200.0,False,False,"Biryani, North Indian",Domlur,8000.0
Bismillah Ambur Biryani,Quick Bites,3.1,7,150.0,False,False,Biryani,Indiranagar,1050.0
Bismillah Bawarchi,Quick Bites,3.6,42,300.0,True,False,"North Indian, Chinese, Biryani",Brookefield,12600.0
BISO - Citrus Hotels,Casual Dining,3.0,120,1000.0,False,False,"North Indian, Italian, Chinese, Asian",Bellandur,120000.0
Bistro Claytopia,Cafe,4.1,1845,600.0,True,True,"Cafe, American, Italian, Burger",Koramangala 1st Block,1107000.0
Bistro Oui,"Cafe, Bar",4.1,400,1200.0,True,True,"Cafe, Continental, Salad, Steak",Koramangala 5th Block,480000.0
Biswal's Food Circle,Quick Bites,2.8,40,350.0,False,False,"Chinese, North Indian",Banaswadi,14000.0
Bite and Pipes,Casual Dining,3.5,13,500.0,False,False,"Continental, Chinese",Kammanahalli,6500.0
Bite Me Cupcakes,Dessert Parlor,4.1,189,300.0,True,False,Desserts,Koramangala 4th Block,56700.0
Bite Sip Repeat,Quick Bites,3.4,6,150.0,False,False,"Fast Food, South Indian, North Indian",Electronic City,900.0
BITEBOX,Quick Bites,4.4,150,300.0,True,False,"North Indian, Chinese, Fast Food, Beverages, Desserts",Marathahalli,45000.0
Bites 2 Binge,Casual Dining,3.7,19,750.0,True,False,North Indian,Indiranagar,14250.0
Bitez,Quick Bites,2.8,40,100.0,False,False,Fast Food,Banashankari,4000.0
Biting Junction,Quick Bites,3.9,119,350.0,True,False,"Chinese, North Indian, Rajasthani, Gujarati, Fast Food, Afghan",Whitefield,41650.0
Black Cup Cafe,Cafe,3.6,19,400.0,True,False,"Cafe, Fast Food, Beverages",BTM,7600.0
Black Deer,"Takeaway, Delivery",4.4,149,,False,False,"Beverages, Ice Cream, Desserts",Koramangala 5th Block,
Black Jack,Bar,3.7,318,1400.0,False,False,"North Indian, Chinese",New BEL Road,445200.0
Black Kitchen,Casual Dining,3.7,25,400.0,True,False,"Kerala, South Indian",Koramangala 6th Block,10000.0
Black Mug Cafe,Cafe,3.7,171,300.0,True,False,Cafe,Bannerghatta Road,51300.0
Black Pagoda,Quick Bites,2.9,11,300.0,False,False,"North Indian, South Indian, Chinese",Whitefield,3300.0
Black Pepper Lounge - Case de Bengaluru,Lounge,3.7,81,1200.0,False,True,Finger Food,Koramangala 6th Block,97200.0
Black Rock Cafe,Cafe,3.5,22,500.0,False,False,Cafe,Marathahalli,11000.0
Blend - Royal Orchid Suites,Casual Dining,3.4,16,1300.0,False,False,"Chinese, North Indian",Whitefield,20800.0
Blends Juice Cafe,Quick Bites,0.0,40,200.0,False,False,"Beverages, Desserts",BTM,8000.0
Bling - The Zuri,Lounge,3.7,228,2100.0,False,False,"Continental, North Indian",Whitefield,478800.0
Blistering Barnacles,Pub,3.9,1214,1200.0,False,True,"Chinese, Continental, American, Steak",Indiranagar,1456800.0
Blk Plus Wht,"Casual Dining, Cafe",4.3,112,800.0,False,False,"Asian, Thai, North Indian",HSR,89600.0
Bloomsbury's Global Kitchen & Bakehouse,"Cafe, Dessert Parlor",4.5,733,900.0,True,True,"American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",Whitefield,659700.0
BLOW,Cafe,4.2,935,750.0,True,True,"Cafe, Continental, American, Burger",Church Street,701250.0
Blu Dale Fast Food,Quick Bites,3.3,7,250.0,False,False,"Chinese, North Indian, Andhra, Seafood",Ejipura,1750.0
Blu Oyster,Casual Dining,2.8,40,1500.0,False,True,"Seafood, Continental, European, Mediterranean",Indiranagar,60000.0
Blue Bar - The Taj West End,Lounge,4.0,113,2500.0,False,True,Continental,Race Course Road,282500.0
Blue Berry Restaurant,Casual Dining,2.9,17,600.0,False,False,"North Indian, Kerala, Chinese",BTM,10200.0
Blue Ginger - The Taj West End,Fine Dining,4.4,514,3200.0,False,True,Vietnamese,Race Course Road,1644800.0
Blue Heaven Bar And Restaurant,Bar,3.2,6,750.0,False,False,"Chinese, North Indian",Majestic,4500.0
Blue Terrain - Novotel,Fine Dining,4.2,505,2000.0,False,True,"Spanish, Italian, Mediterranean",Marathahalli,1010000.0
Blue Tokai Coffee Roasters,Cafe,2.8,40,400.0,True,False,"Cafe, Coffee",Koramangala 8th Block,16000.0
Blue Wings Bar & Restaurant,"Bar, Casual Dining",3.7,43,700.0,False,False,"North Indian, Chinese",Banashankari,30100.0
Blueberry Restaurant,Quick Bites,3.5,48,400.0,True,False,"North Indian, Biryani, South Indian",Bellandur,19200.0
BluO,Lounge,4.1,401,1500.0,False,True,"Continental, North Indian",Malleshwaram,601500.0
Blytons,Bar,2.8,40,1500.0,False,False,Bar Food,Hebbal,60000.0
BMG Hotel,Quick Bites,2.8,40,200.0,False,False,"South Indian, North Indian",Electronic City,8000.0
BMR Hyderabad Biryani,"Takeaway, Delivery",3.6,24,400.0,True,False,Biryani,BTM,9600.0
Bobacha,Beverage Shop,4.1,74,300.0,True,False,"Beverages, Bubble Tea, Tea",Whitefield,22200.0
Bob's Bar,"Bar, Casual Dining",2.8,40,1000.0,False,False,"South Indian, Finger Food",Koramangala 7th Block,40000.0
Bob's Restaurant,Quick Bites,4.0,330,500.0,True,False,"North Indian, Chinese",Jeevan Bhima Nagar,165000.0
Body Temple,Quick Bites,3.3,12,500.0,True,False,Healthy Food,BTM,6000.0
Boho,Casual Dining,4.2,1721,1200.0,False,True,"Continental, Asian, American, North Indian, Desserts",Koramangala 5th Block,2065200.0
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Quick Bites,3.5,49,300.0,True,False,Bohri,JP Nagar,14700.0
Bold,"Bar, Casual Dining",3.9,866,1500.0,False,True,"Modern Indian, Continental, North Indian",Marathahalli,1299000.0
Bollywood Grill,Casual Dining,3.4,5,1500.0,False,False,North Indian,Electronic City,7500.0
Bologna,Casual Dining,4.5,717,1000.0,False,True,Italian,Indiranagar,717000.0
Bombay Adda,"Casual Dining, Bar",4.4,2355,1100.0,False,True,Modern Indian,Koramangala 7th Block,2590500.0
Bombay Brasserie,Casual Dining,4.3,555,1800.0,True,False,Modern Indian,Bellandur,999000.0
Bombay Chowpaty Kulfi,Dessert Parlor,3.7,40,250.0,False,False,"Ice Cream, Desserts",Kalyan Nagar,10000.0
Bombay Food Express,Quick Bites,3.7,18,250.0,False,False,"Street Food, Fast Food",Shanti Nagar,4500.0
Bombay Kulfi,Dessert Parlor,3.4,33,150.0,True,False,"Desserts, Ice Cream",Sarjapur Road,4950.0
Bombay Kulfis,Dessert Parlor,3.3,4,200.0,False,False,Ice Cream,Indiranagar,800.0
Bombay Sandwich Company,Delivery,3.0,40,400.0,True,False,"Sandwich, Beverages",Indiranagar,16000.0
Bombay Talkies,Quick Bites,3.6,24,200.0,True,False,"Maharashtrian, Fast Food, Street Food, Sandwich",Jayanagar,4800.0
Bombay Vada Pav Corner,Quick Bites,4.1,84,150.0,True,False,Street Food,Seshadripuram,12600.0
Bon Appetit Resto,Delivery,3.8,50,300.0,True,False,"North Indian, Chinese",New BEL Road,15000.0
Bon Baker,Delivery,3.7,19,1000.0,False,False,Desserts,Whitefield,19000.0
Bon Sante,Cafe,3.6,104,800.0,False,False,"Cafe, Continental, Italian",Brigade Road,83200.0
Bonbonbite,Bakery,3.5,10,450.0,False,False,"Bakery, Desserts",Jalahalli,4500.0
Bonfooder,Delivery,3.8,36,400.0,True,False,North Indian,Sarjapur Road,14400.0
Bong Connections,Quick Bites,2.8,40,300.0,False,False,"Chinese, North Indian",Whitefield,12000.0
BongHomie,"Takeaway, Delivery",3.4,10,300.0,False,False,"Bengali, North Indian",BTM,3000.0
Bonsouth,Casual Dining,4.2,2616,1300.0,True,True,"Chettinad, Andhra, Kerala",Koramangala 5th Block,3400800.0
Bonum cibum,Casual Dining,4.5,181,1200.0,True,False,"Lebanese, Turkish",HSR,217200.0
Book My Cakes,Bakery,3.3,4,300.0,True,False,Bakery,Old Airport Road,1200.0
Boondock Bistro,"Casual Dining, Cafe",3.9,1636,900.0,True,True,"Steak, Continental, American, Italian, Salad, Cafe",Whitefield,1472400.0
Bootlegger,Lounge,4.0,601,1800.0,False,True,"Continental, Steak",Indiranagar,1081800.0
Boozers Bar & Kitchen,"Bar, Casual Dining",4.3,700,,False,False,"Continental, Burger, Italian, Pizza, North Indian, Chinese, Finger Food",Indiranagar,
Borah's Kitchen,Quick Bites,3.3,12,250.0,True,False,"North Indian, Chinese",BTM,3000.0
Boston Barista - Kappayum Curriyum,Quick Bites,3.6,64,350.0,True,False,Kerala,BTM,22400.0
Bottle & Glass,"Bar, Casual Dining",4.0,973,1400.0,False,True,"Continental, Chinese, Italian",Indiranagar,1362200.0
Bottle Breacher,"Casual Dining, Pub",4.1,1187,1200.0,False,True,"Italian, Continental",JP Nagar,1424400.0
Bottoms Up Resto Bar,Bar,3.9,248,1200.0,False,False,"Finger Food, Italian, Continental",Kalyan Nagar,297600.0
Bowl House Kitchen,"Takeaway, Delivery",2.8,40,400.0,True,False,"North Indian, Biryani, Asian",Electronic City,16000.0
Bowl N Biryani,Quick Bites,3.3,24,500.0,True,False,"Biryani, North Indian, Chinese","ITPL Main Road, Whitefield",12000.0
Bowl'd over Rice,"Takeaway, Delivery",2.8,40,300.0,True,False,North Indian,Indiranagar,12000.0
Bowlful,"Takeaway, Delivery",3.6,12,500.0,True,False,North Indian,Domlur,6000.0
Bowls & Combos Co.,Delivery,2.8,40,300.0,False,False,"Chinese, Thai, North Indian",Indiranagar,12000.0
Bowring Kulfi,Dessert Parlor,4.0,40,150.0,False,False,"Ice Cream, Desserts",Residency Road,6000.0
Box Magic,Quick Bites,3.6,21,400.0,True,False,"North Indian, South Indian, Seafood, Rolls",Bannerghatta Road,8400.0
Box of Biryani,Delivery,3.5,9,400.0,False,False,"Biryani, North Indian, Kebab",Koramangala 6th Block,3600.0
BOX8- Desi Meals,Delivery,4.3,248,500.0,True,False,"North Indian, Mughlai, Fast Food",JP Nagar,124000.0
Boxes And Combos,Quick Bites,2.8,40,500.0,False,False,"North Indian, South Indian",Whitefield,20000.0
Bozo's Yum Yums,"Takeaway, Delivery",4.0,90,650.0,True,False,"Fast Food, Burger, American",Frazer Town,58500.0
BR Military Hotel,Quick Bites,3.1,6,300.0,False,False,North Indian,Indiranagar,1800.0
Brahma Brews,"Microbrewery, Casual Dining",2.8,40,1400.0,False,True,"Continental, South Indian, Finger Food, Pizza, Seafood",JP Nagar,56000.0
Brahmin Cafe,Quick Bites,3.8,19,150.0,False,False,South Indian,Banashankari,2850.0
Brahmin Tiffins & Coffee,Quick Bites,0.0,40,100.0,False,False,"South Indian, Beverages",Basavanagudi,4000.0
Brahmin's Coffee Bar,Quick Bites,3.9,282,250.0,False,False,South Indian,Malleshwaram,70500.0
Brahmins Food Corner,Quick Bites,3.7,95,400.0,True,False,"South Indian, North Indian, Chinese",Jalahalli,38000.0
Brahmins' Thatte Idli,Quick Bites,3.9,126,100.0,True,False,South Indian,Rajajinagar,12600.0
Bramhin Tiffins,Quick Bites,3.6,12,150.0,False,False,South Indian,JP Nagar,1800.0
Brea,Bakery,3.4,34,300.0,True,False,"Bakery, Fast Food",Jeevan Bhima Nagar,10200.0
Bread and Circus,Cafe,3.7,50,550.0,False,False,"Cafe, Fast Food, Pizza, Burger",Shanti Nagar,27500.0
Bread Crumbs Bakery,Bakery,4.0,164,250.0,False,False,"Desserts, Bakery",Bannerghatta Road,41000.0
